original_accession_n,new_name
RS_GCF_000021485.1_protein,o__Acidithiobacillales
RS_GCF_000147075.1_protein,o__DSM-6578
RS_GCF_000755505.1_protein,o__Leptospirillales
RS_GCF_000092985.1_protein,o__Streptosporangiales
RS_GCF_000385215.1_protein,o__Ectothiorhodospirales
RS_GCF_000430625.1_protein,o__Aneurinibacillales
RS_GCF_000426705.1_protein,o__DSM-17781
RS_GCF_001292625.1_protein,o__Rhodobacterales
RS_GCF_001552075.1_protein,o__Actinomycetales
RS_GCF_001618175.1_protein,o__Oceanibaculales
GB_GCA_001871575.1_protein,o__Caldisericales
GB_GCA_001897475.1_protein,o__43-37
GB_GCA_001913845.2_protein,o__CACIAM-69d
GB_GCA_001769655.1_protein,o__2-12-FULL-37-12
GB_GCA_001751075.1_protein,o__C00003060
GB_GCA_001784175.1_protein,o__2-12-FULL-62-27
GB_GCA_001898225.1_protein,o__54-19
GB_GCA_001872725.1_protein,o__CG1-02-64-396
GB_GCA_001798595.1_protein,o__UBA9968
RS_GCF_001975725.1_protein,o__Ectothiorhodospirales_A
GB_GCA_002010915.1_protein,o__JdFR-97
GB_GCA_002159155.1_protein,o__Limnochordales_A
RS_GCF_002804065.1_protein,o__Kyrpidiales
RS_GCF_900112165.1_protein,o__Brevinematales
RS_GCF_002499975.2_protein,o__Enterobacterales_A
GB_GCA_002717565.1_protein,o__GCA-2717565
GB_GCA_002747255.1_protein,o__Acanthopleuribacterales
GB_GCA_002469885.1_protein,o__UBA7366
GB_GCA_002347295.1_protein,o__UBA2247
GB_GCA_002783345.1_protein,o__Aquicultorales
GB_GCA_002419055.1_protein,o__UBA4068
GB_GCA_002402315.1_protein,o__UBA4821
GB_GCA_002412545.1_protein,o__UBA5214
GB_GCA_002375995.1_protein,o__Bipolaricaulales
GB_GCA_002348315.1_protein,o__Pirellulales
GB_GCA_002691145.1_protein,o__TMED127
GB_GCA_002450835.1_protein,o__UBA6926
GB_GCA_002304935.1_protein,o__Humimicrobiales
GB_GCA_002391385.1_protein,o__DTU010
RS_GCF_003173035.1_protein,o__Zavarziniales
RS_GCF_003054245.1_protein,o__Thermoactinomycetales
RS_GCF_002973605.1_protein,o__Abditibacteriales
GB_GCA_003132585.1_protein,o__UBA2241
