original_accession_n,new_name
RS_GCF_000711905.1_protein,c__Methanosarcinia_A
GB_GCA_003034855.1_protein,c__Methanonatronarchaeia
GB_GCA_011605725.1_protein,c__EX4484-205
GB_GCA_011049295.1_protein,c__E2
GB_GCA_014189685.1_protein,c__Undinarchaeia
GB_GCA_015660915.1_protein,c__Bog-38
GB_GCA_016882195.1_protein,c__Methanomethylicia
GB_GCA_016839265.1_protein,c__Odinarchaeia
GB_GCA_018260615.1_protein,c__Altiarchaeia
GB_GCA_016840425.1_protein,c__Wukongarchaeia
GB_GCA_017609985.1_protein,c__Iainarchaeia
GB_GCA_021163065.1_protein,c__Archaeoglobi
GB_GCA_023145185.1_protein,c__EX4484-6
RS_GCF_000015225.1_protein,c__Thermoprotei
RS_GCF_000691865.1_protein,c__Methanomicrobia
GB_GCA_002495885.1_protein,c__UBA148
GB_GCA_004347925.1_protein,c__Hadarchaeia
GB_GCA_902384555.1_protein,c__Micrarchaeia
GB_GCA_009649835.1_protein,c__Methanosarcinia
GB_GCA_011041895.1_protein,c__DRAE01
GB_GCA_015522685.1_protein,c__Korarchaeia
GB_GCA_015062915.1_protein,c__Methanobacteria
GB_GCA_005239175.1_protein,c__Halobacteria
GB_GCA_015521945.1_protein,c__Hydrothermarchaeia
GB_GCA_015521605.1_protein,c__Thermococci
GB_GCA_018396725.1_protein,c__Bathyarchaeia
GB_GCA_019057385.1_protein,c__Sifarchaeia
GB_GCA_017883965.1_protein,c__Syntropharchaeia
GB_GCA_019058495.1_protein,c__LC30
GB_GCA_016840465.1_protein,c__Baldrarchaeia
GB_GCA_019056875.1_protein,c__Jordarchaeia
GB_GCA_020696345.1_protein,c__JAEHCK01
GB_GCA_023129115.1_protein,c__B1Sed10-29
GB_GCA_002494765.1_protein,c__UBA186
GB_GCA_004524565.1_protein,c__Thorarchaeia
GB_GCA_004212085.1_protein,c__Methanoliparia
RS_GCF_000011005.1_protein,c__Methanocellia
RS_GCF_002116695.1_protein,c__Thermoprotei_A
GB_GCA_011365055.1_protein,c__Lokiarchaeia
GB_GCA_016840405.1_protein,c__Hermodarchaeia
GB_GCA_023137195.1_protein,c__EX4484-52
GB_GCA_021296165.1_protein,c__Nitrososphaeria
GB_GCA_019322485.1_protein,c__Nanoarchaeia
GB_GCA_021513715.1_protein,c__Heimdallarchaeia
GB_GCA_019561615.1_protein,c__Methanococci
RS_GCF_000195915.1_protein,c__Thermoplasmata
GB_GCA_013154335.1_protein,c__Methanopyri
GB_GCA_016207515.1_protein,c__SW-10-69-26
GB_GCA_023265395.1_protein,c__Themoplasmata_A
GB_GCA_023128965.1_protein,c__Aenigmatarchaeia
GB_GCA_023267975.1_protein,c__Nitrososphaeria_A
