original_accession_n,new_name
RS_GCF_000191045.1_protein,c__Desulfurobacteriia
RS_GCF_000817955.1_protein,c__Desulfuromonadia
RS_GCF_000430885.1_protein,c__Desulfotomaculia
GB_GCA_001784175.1_protein,c__2-12-FULL-62-27
RS_GCF_900176035.1_protein,c__Peptococcia
GB_GCA_002010915.1_protein,c__JdFR-97
RS_GCF_002224645.1_protein,c__Dehalobacteriia
RS_GCF_900112165.1_protein,c__Brevinematia
RS_GCF_002795825.1_protein,c__Zetaproteobacteria
GB_GCA_002397275.1_protein,c__DSM-12270
GB_GCA_002423385.1_protein,c__UBA9980
GB_GCA_002412545.1_protein,c__UBA5214
GB_GCA_002398105.1_protein,c__Syntrophomonadia
GB_GCA_002712005.1_protein,c__Bacteriovoracia
GB_GCA_003554945.1_protein,c__T1Sed10-126
GB_GCA_003568415.1_protein,c__T3Sed10-11
GB_GCA_003551625.1_protein,c__PUNC01
GB_GCA_005239795.1_protein,c__SBBH01
GB_GCA_005887685.1_protein,c__Dormibacteria
GB_GCA_005885035.1_protein,c__UBA4738
GB_GCA_004525935.1_protein,c__Kiritimatiellia
GB_GCA_004297825.1_protein,c__UBA4802
GB_GCA_007132905.1_protein,c__SLNR01
RS_GCF_003985125.1_protein,c__Alphaproteobacteria
RS_GCF_014250675.1_protein,c__Fusobacteriia
GB_GCA_007695355.1_protein,c__UBA11346
GB_GCA_012839925.1_protein,c__DUMJ01
GB_GCA_013178045.1_protein,c__Ch66
GB_GCA_013153315.1_protein,c__Aquificae
GB_GCA_012523545.1_protein,c__Proteinivoracia
GB_GCA_002069885.1_protein,c__UBA6099
GB_GCA_012719355.1_protein,c__UBA6911
GB_GCA_013215145.1_protein,c__Oligoflexia
GB_GCA_013695355.1_protein,c__Chlamydiia
GB_GCA_903928075.1_protein,c__D2-FULL-39-29
GB_GCA_014360465.1_protein,c__JACIXR01
RS_GCF_014647075.1_protein,c__Deinococci
GB_GCA_016199865.1_protein,c__MSB-5A5
GB_GCA_016210115.1_protein,c__Binatia
GB_GCA_016177405.1_protein,c__Koll11
GB_GCA_902812875.1_protein,c__CADDZV01
GB_GCA_016212215.1_protein,c__9FT-COMBO-42-15
GB_GCA_016179685.1_protein,c__PUPC01
GB_GCA_015492245.1_protein,c__GWC2-55-46
GB_GCA_015486285.1_protein,c__DSWW01
GB_GCA_016213935.1_protein,c__Thermodesulfovibrionia
GB_GCA_016720835.1_protein,c__SZUA-365
GB_GCA_016875225.1_protein,c__UBA9160
GB_GCA_016875595.1_protein,c__Cloacimonadia
GB_GCA_016929715.1_protein,c__SDB-A
GB_GCA_017405875.1_protein,c__UBA1177
GB_GCA_000517565.1_protein,c__Desulfurellia
GB_GCA_018817865.1_protein,c__JAHITG01
GB_GCA_018435125.1_protein,c__DTU065
GB_GCA_018812925.1_protein,c__CAIJMQ01
GB_GCA_018812265.1_protein,c__RPQS01
GB_GCA_020632715.1_protein,c__UBA9042
GB_GCA_021201355.1_protein,c__SZUA-567
GB_GCA_024274915.1_protein,c__Thermosulfidibacteria
GB_GCA_023144635.1_protein,c__JAFGBW01
GB_GCA_934434555.1_protein,c__Clostridia
GB_GCA_023249615.1_protein,c__Palsa-1180
GB_GCA_919901565.1_protein,c__CG2-30-53-67
GB_GCA_019690095.1_protein,c__FW602-bin22
GB_GCA_022706085.1_protein,c__MWCZ01
GB_GCA_023423795.1_protein,c__Chloroflexia
GB_GCA_023150835.1_protein,c__UBA6777
GB_GCA_021800275.1_protein,c__JABDET01
GB_GCA_024641705.1_protein,c__Kryptonia
GB_GCA_022763185.1_protein,c__JALEGL01
GB_GCA_022072165.1_protein,c__JAJVIF01
GB_GCA_020073445.1_protein,c__Terriglobia
GB_GCA_023150875.1_protein,c__UBA796
GB_GCA_021827745.1_protein,c__JAJZYS01
GB_GCA_021107945.1_protein,c__JAJTBE01
GB_GCA_023382265.1_protein,c__JAMCPX01
GB_GCA_022825665.1_protein,c__WGA-4E
GB_GCA_022567655.1_protein,c__SORT01
GB_GCA_022710345.1_protein,c__Uabimicrobiia
GB_GCA_024275095.1_protein,c__JAJRZV01
GB_GCA_020850775.1_protein,c__CLD3
GB_GCA_913051775.1_protein,c__CAJXCL01
GB_GCA_023228995.1_protein,c__Muirbacteriia
GB_GCA_020434085.1_protein,c__JAGRBM01
GB_GCA_019456185.1_protein,c__Glassbacteria
GB_GCA_021161885.1_protein,c__Auribacteria
RS_GCF_000425105.1_protein,c__Actinomycetia
RS_GCF_000212395.1_protein,c__Thermodesulfobiia
RS_GCF_001425825.1_protein,c__Gammaproteobacteria
GB_GCA_001627865.1_protein,c__SAR324
GB_GCA_001805055.1_protein,c__UBA9217
GB_GCA_001797335.1_protein,c__O2-12-FULL-43-9
GB_GCA_001800605.1_protein,c__UBA8919
GB_GCA_001769835.1_protein,c__UBA1018
RS_GCF_002042965.1_protein,c__Bacilli
RS_GCF_001950325.1_protein,c__Z-2901
RS_GCF_002379365.1_protein,c__Brachyspirae
GB_GCA_002256485.1_protein,c__Marinisomatia
GB_GCA_002428325.1_protein,c__UBA4092
GB_GCA_002345475.1_protein,c__UBA994
GB_GCA_002344565.1_protein,c__Bdellovibrionia
GB_GCA_002786225.1_protein,c__Leptospirae
GB_GCA_002746535.1_protein,c__GCA-2746535
GB_GCA_002869015.1_protein,c__Deferrisomatia
GB_GCA_003141195.1_protein,c__Syntrophia
GB_GCA_003551215.1_protein,c__SLMV01
GB_GCA_003697105.1_protein,c__4572-55
GB_GCA_005843825.1_protein,c__Chlorobia
GB_GCA_004282745.1_protein,c__Brocadiia
GB_GCA_004297985.1_protein,c__Eremiobacteria
GB_GCA_004563715.1_protein,c__Rubrobacteria
GB_GCA_007132505.1_protein,c__Sumerlaeia
RS_GCF_005377625.1_protein,c__Syntrophobacteria
RS_GCF_010894435.1_protein,c__Myxococcia
GB_GCA_902826515.1_protein,c__Vicinamibacteria
GB_GCA_012840225.1_protein,c__Limnochordia
GB_GCA_012729785.1_protein,c__UBA1439
GB_GCA_011620345.1_protein,c__UBA2233
GB_GCA_002070415.1_protein,c__SHA-98
GB_GCA_012517765.1_protein,c__Caldisericia
GB_GCA_012517325.1_protein,c__FEN-1099
GB_GCA_013151555.1_protein,c__NPL-UPA2
GB_GCA_013152945.1_protein,c__JAADFL01
GB_GCA_903916755.1_protein,c__Verrucomicrobiae
GB_GCA_903925285.1_protein,c__Hydrogenedentia
GB_GCA_903847385.1_protein,c__Bradymonadia
GB_GCA_014382805.1_protein,c__UBA1135
GB_GCA_016178725.1_protein,c__RBG-16-71-46
GB_GCA_015711795.1_protein,c__Aquicultoria
GB_GCA_016217735.1_protein,c__UBA7883
GB_GCA_016208165.1_protein,c__JACQYL01
GB_GCA_015493505.1_protein,c__S145-22
GB_GCA_016196885.1_protein,c__JACPWU01
GB_GCA_016935485.1_protein,c__JAFGQW01
GB_GCA_016867335.1_protein,c__JAAXHH01
GB_GCA_016867835.1_protein,c__AABM5-125-24
GB_GCA_016935765.1_protein,c__UBA6098
GB_GCA_016936735.1_protein,c__JAFGXH01
GB_GCA_016928395.1_protein,c__JAFGKV01
GB_GCA_016703535.1_protein,c__WYAZ01
GB_GCA_016713535.1_protein,c__JADJOY01
GB_GCA_016795285.1_protein,c__B15-G4
GB_GCA_018818125.1_protein,c__Ozemobacteria
GB_GCA_018824205.1_protein,c__UBA2242
RS_GCF_024807195.1_protein,c__HRBIN17
GB_GCA_019638775.1_protein,c__Fimbriimonadia
GB_GCA_020717845.1_protein,c__CG2-30-40-21
GB_GCA_023436205.1_protein,c__Chitinivibrionia
GB_GCA_023617515.1_protein,c__Deferrimicrobia
GB_GCA_020725425.1_protein,c__UBA5301
GB_GCA_021806765.1_protein,c__UBA6077
GB_GCA_024655865.1_protein,c__JANLFM01
GB_GCA_020348885.1_protein,c__B26-G2
GB_GCA_023132135.1_protein,c__JAGLYR01
GB_GCA_023481175.1_protein,c__Leptospirillia
GB_GCA_024277675.1_protein,c__SZUA-182
GB_GCA_020342115.1_protein,c__B62-G9
GB_GCA_020051775.1_protein,c__B3-LCP
GB_GCA_024653345.1_protein,c__Bipolaricaulia
