original_accession_n,new_name
RS_GCF_000711905.1_protein,f__Methermicoccaceae
RS_GCF_000993805.1_protein,f__Thermofilaceae
GB_GCA_001940805.1_protein,f__Methanocorpusculaceae
GB_GCA_001914405.1_protein,f__Methanonatronarchaeaceae
GB_GCA_001940705.1_protein,f__Thorarchaeaceae
GB_GCA_002011125.1_protein,f__Hydrothermarchaeaceae
RS_GCF_900109065.1_protein,f__Haloferacaceae
RS_GCF_900215575.1_protein,f__Natronoarchaeaceae
GB_GCA_002506585.1_protein,f__Methanoculleaceae
GB_GCA_002838935.1_protein,f__GCA-002838935
GB_GCA_003021085.1_protein,f__PXRE01
GB_GCA_002923215.1_protein,f__SZUA-236
GB_GCA_003661385.1_protein,f__B14-G2
GB_GCA_003336485.1_protein,f__ANME-1
GB_GCA_004376975.1_protein,f__UBA233
GB_GCA_004347965.1_protein,f__WYZ-LMO8
GB_GCA_004332335.1_protein,f__Methanosphaerulaceae
RS_GCF_003264935.1_protein,f__Methanothermobacteraceae_A
RS_GCF_012027355.1_protein,f__Thermococcaceae
GB_GCA_902386535.1_protein,f__Burarchaeaceae
GB_GCA_011605725.1_protein,f__JAAOZP01
GB_GCA_011049295.1_protein,f__DSCA01
GB_GCA_013415695.1_protein,f__JAAEEP01
GB_GCA_014361095.1_protein,f__Hadarchaeaceae
GB_GCA_013375355.1_protein,f__JABXJV01
GB_GCA_014189685.1_protein,f__Naiadarchaeaceae
GB_GCA_013538675.1_protein,f__Nitrosocaldaceae
GB_GCA_014361455.1_protein,f__Methanomethylicaceae
GB_GCA_015521735.1_protein,f__WANQ01
GB_GCA_016202815.1_protein,f__JACPZZ01
GB_GCA_016214785.1_protein,f__JACRNV01
GB_GCA_900620265.1_protein,f__Nitrosopumilaceae
GB_GCA_015520735.1_protein,f__Desulfurococcaceae
GB_GCA_003116855.1_protein,f__AG1
GB_GCA_016927425.1_protein,f__Methanotrichaceae
GB_GCA_016839265.1_protein,f__Odinarchaeaceae
GB_GCA_018304425.1_protein,f__UBA10219
GB_GCA_018260615.1_protein,f__Altiarchaeaceae
GB_GCA_017857595.1_protein,f__Gearchaeaceae
GB_GCA_018897155.1_protein,f__LFW-46
GB_GCA_016840425.1_protein,f__Wukongarchaeaceae
GB_GCA_017609985.1_protein,f__JAFCCW01
GB_GCA_016839515.1_protein,f__Hodarchaeaceae
GB_GCA_021160575.1_protein,f__JAGHCH01
GB_GCA_020833255.1_protein,f__NBVN01
GB_GCA_022841205.1_protein,f__Methanoregulaceae
GB_GCA_021162845.1_protein,f__B3-G16
GB_GCA_021163065.1_protein,f__Archaeoglobaceae
GB_GCA_023379805.1_protein,f__JACPRH01
GB_GCA_025060975.1_protein,f__DSZF01
GB_GCA_023140195.1_protein,f__SOIM01
GB_GCA_024278375.1_protein,f__WALJ01
GB_GCA_021817415.1_protein,f__GCA-001856825
GB_GCA_024650005.1_protein,f__BA1
GB_GCA_021324115.1_protein,f__DTJL01
GB_GCA_022014875.1_protein,f__Thermocladiaceae
GB_GCA_021161465.1_protein,f__JAGHAM01
RS_GCF_000275865.1_protein,f__Methanofollaceae
RS_GCF_000403645.1_protein,f__Salinarchaeaceae
RS_GCF_001593955.1_protein,f__Halalkalicoccaceae
GB_GCA_002495885.1_protein,f__UBA148
GB_GCA_005888735.1_protein,f__40CM-2-53-6
