original_accession_n,new_name
RS_GCF_000217715.1_protein,g__Halopiger
RS_GCF_000214415.1_protein,g__Methanotorris
RS_GCF_000455365.1_protein,g__Halopiger_B
RS_GCF_000711905.1_protein,g__Methermicoccus
RS_GCF_001316045.1_protein,g__Sulfuracidifex
RS_GCF_000328665.1_protein,g__Methanomethylovorans
RS_GCF_000223395.1_protein,g__Pyrolobus
RS_GCF_000336635.1_protein,g__Haloarcula
RS_GCF_000018305.1_protein,g__Caldivirga
RS_GCF_000337215.1_protein,g__Natronolimnohabitans
RS_GCF_001307315.1_protein,g__Halolamina
RS_GCF_000371805.1_protein,g__Methanocaldococcus_A
RS_GCF_000308215.1_protein,g__Methanomassiliicoccus
RS_GCF_000015145.1_protein,g__Hyperthermus
RS_GCF_000196655.1_protein,g__Methanohalobium
RS_GCF_000970325.1_protein,g__Methanococcoides
RS_GCF_000337575.1_protein,g__Natrialba
RS_GCF_000966265.1_protein,g__Palaeococcus
RS_GCF_000337495.1_protein,g__Haloterrigena
RS_GCF_000376965.1_protein,g__Methanothermococcus
RS_GCF_000017185.1_protein,g__Methanothermococcus_A
GB_GCA_001507955.1_protein,g__Methanothermobacter_A
GB_GCA_001914405.1_protein,g__Methanohalarchaeum
RS_GCF_002156965.1_protein,g__Nitrosopumilus
RS_GCF_002208625.1_protein,g__Methanobrevibacter_B
GB_GCA_002010215.1_protein,g__JdFR-37
GB_GCA_002011075.1_protein,g__JdFR-13
GB_GCA_002011125.1_protein,g__Hydrothermarchaeum
GB_GCA_002010285.1_protein,g__JdFR-41
GB_GCA_002009975.1_protein,g__Thermococcus_C
RS_GCF_002844195.1_protein,g__Halegenticoccus
GB_GCA_002503105.1_protein,g__UBA206
GB_GCA_002503205.1_protein,g__UBA447
GB_GCA_002839545.1_protein,g__Methanoperedens_A
GB_GCA_002825515.1_protein,g__SMTZ1-45
GB_GCA_002838935.1_protein,g__GCA-002838935
RS_GCF_003201765.2_protein,g__Acidianus
GB_GCA_003034855.1_protein,g__PZKD01
GB_GCA_003021085.1_protein,g__PXRE01
GB_GCA_003151535.1_protein,g__Methanobacterium_B
GB_GCA_002923215.1_protein,g__SZUA-236
GB_GCA_003019595.1_protein,g__BE-D
GB_GCA_003661385.1_protein,g__B14-G2
GB_GCA_003336485.1_protein,g__QENH01
GB_GCA_004376975.1_protein,g__SOJA01
GB_GCA_004347965.1_protein,g__WYZ-LMO8
GB_GCA_004347955.1_protein,g__WYZ-LMO10
