original_accession_n,new_name
RS_GCF_000711905.1_protein,o__Methanosarcinales_A
RS_GCF_000015825.1_protein,o__Methanomicrobiales
GB_GCA_002838935.1_protein,o__GCA-002838935
GB_GCA_005884195.1_protein,o__40CM-2-53-6
GB_GCA_902386535.1_protein,o__Burarchaeales
GB_GCA_014361095.1_protein,o__Hadarchaeales
GB_GCA_014189685.1_protein,o__Undinarchaeales
GB_GCA_016202815.1_protein,o__JACPZZ01
GB_GCA_016214785.1_protein,o__SG8-5
GB_GCA_018260615.1_protein,o__Altiarchaeales
GB_GCA_017857595.1_protein,o__Gearchaeales
GB_GCA_017601245.1_protein,o__EX4484-205
GB_GCA_016840425.1_protein,o__Wukongarchaeales
GB_GCA_017609985.1_protein,o__Iainarchaeales
GB_GCA_016839515.1_protein,o__Hodarchaeales
GB_GCA_019720975.1_protein,o__Sysuiplasmatales
GB_GCA_019322805.1_protein,o__Woesearchaeales
GB_GCA_024278375.1_protein,o__WALJ01
GB_GCA_021324115.1_protein,o__Conexivisphaerales
GB_GCA_023145185.1_protein,o__EX4484-6
GB_GCA_023268155.1_protein,o__Caldarchaeales
GB_GCA_002495885.1_protein,o__UBA148
GB_GCA_003552585.1_protein,o__PWKY01
GB_GCA_902384795.1_protein,o__Gugararchaeales
GB_GCA_011041895.1_protein,o__DRAE01
GB_GCA_013388835.1_protein,o__Thorarchaeales
GB_GCA_903921825.1_protein,o__DTNL01
GB_GCA_016212395.1_protein,o__JACRGF01
GB_GCA_014730165.1_protein,o__CR-4
GB_GCA_016839365.1_protein,o__Hermodarchaeales
GB_GCA_019057385.1_protein,o__Borrarchaeales
GB_GCA_019058495.1_protein,o__LC30
GB_GCA_016840465.1_protein,o__Baldrarchaeales
GB_GCA_018052825.1_protein,o__Methanotrichales
GB_GCA_019056875.1_protein,o__Jordarchaeales
GB_GCA_018396415.1_protein,o__RBG-16-48-13
RS_GCF_023016325.1_protein,o__Methanonatronarchaeales
GB_GCA_020696345.1_protein,o__JAEHCK01
GB_GCA_020348345.1_protein,o__UBA10834
GB_GCA_021158865.1_protein,o__UBA202
GB_GCA_023249275.1_protein,o__Methanosarcinales
GB_GCA_025059195.1_protein,o__B26-1
GB_GCA_022848825.1_protein,o__RBG-16-68-12
GB_GCA_023129115.1_protein,o__WALL01
GB_GCA_021813385.1_protein,o__JAKAKT01
RS_GCF_000517445.1_protein,o__Thermococcales
GB_GCA_001717005.1_protein,o__Methanomethylicales
GB_GCA_001766815.1_protein,o__Syntropharchaeales
GB_GCA_001940665.1_protein,o__Odinarchaeales
GB_GCA_002011035.1_protein,o__B25
RS_GCF_900108505.1_protein,o__Halobacteriales
GB_GCA_002494765.1_protein,o__UBA186
GB_GCA_003139855.1_protein,o__Bog-38
GB_GCA_003019535.1_protein,o__Marsarchaeales
GB_GCA_004212085.1_protein,o__Methanoliparales
RS_GCF_000011005.1_protein,o__Methanocellales
GB_GCA_013178285.1_protein,o__Methanofastidiosales
GB_GCA_013152685.1_protein,o__Hydrothermarchaeales
GB_GCA_015063125.1_protein,o__Methanomassiliicoccales
GB_GCA_016930255.1_protein,o__ANME-1
GB_GCA_018396695.1_protein,o__TCS64
GB_GCA_018819225.1_protein,o__Norongarragalinales
GB_GCA_020833055.1_protein,o__Korarchaeales
GB_GCA_025059375.1_protein,o__Nezhaarchaeales
GB_GCA_021163245.1_protein,o__Thermofilales
GB_GCA_023137195.1_protein,o__EX4484-52
GB_GCA_022750115.1_protein,o__UBA184
GB_GCA_020348445.1_protein,o__GCA-020350865
GB_GCA_024281315.1_protein,o__JAJSAE01
GB_GCA_023269235.1_protein,o__JACPAO01
GB_GCA_002011165.1_protein,o__JdFR-21
GB_GCA_002011395.1_protein,o__Aciduliprofundales
GB_GCA_003009755.1_protein,o__SW-10-69-26
GB_GCA_003162115.1_protein,o__Methanobacteriales
GB_GCA_003650925.1_protein,o__QMSL01
RS_GCF_000007225.1_protein,o__Thermoproteales
RS_GCF_004310395.1_protein,o__Methanococcales
GB_GCA_009758405.1_protein,o__ARK-15
GB_GCA_013154335.1_protein,o__Methanopyrales
GB_GCA_013540595.1_protein,o__Sulfolobales
GB_GCA_013375455.1_protein,o__Helarchaeales
GB_GCA_903877165.1_protein,o__DHVEG-1
GB_GCA_013538715.1_protein,o__Nitrososphaerales
GB_GCA_016207515.1_protein,o__JACQPN01
GB_GCA_015523545.1_protein,o__Geothermarchaeales
GB_GCA_015520115.1_protein,o__Archaeoglobales
GB_GCA_018897475.1_protein,o__IMC4
GB_GCA_024280435.1_protein,o__UBA460
GB_GCA_023265395.1_protein,o__DTKX01
GB_GCA_020053355.1_protein,o__Anstonellales
GB_GCA_023128965.1_protein,o__QMZP01
GB_GCA_025058595.1_protein,o__B24
GB_GCA_020833005.1_protein,o__B29-G17
GB_GCA_021816745.1_protein,o__Thermoplasmatales
