original_accession_n,new_name
GB_GCA_002011125.1_protein,p__Hydrothermarchaeota
GB_GCA_002825515.1_protein,p__Asgardarchaeota
RS_GCF_006274605.1_protein,p__Methanobacteriota_B
GB_GCA_014361095.1_protein,p__Hadarchaeota
GB_GCA_014189685.1_protein,p__Undinarchaeota
GB_GCA_018897155.1_protein,p__EX4484-52
GB_GCA_017609985.1_protein,p__Iainarchaeota
GB_GCA_014894395.1_protein,p__Thermoplasmatota
GB_GCA_023129115.1_protein,p__B1Sed10-29
RS_GCF_000166095.1_protein,p__Methanobacteriota
GB_GCA_001873845.1_protein,p__Altiarchaeota
GB_GCA_023248035.1_protein,p__Micrarchaeota
GB_GCA_002495315.1_protein,p__Thermoproteota
GB_GCA_016928155.1_protein,p__Nanoarchaeota
GB_GCA_023128965.1_protein,p__Aenigmatarchaeota
GB_GCA_021159465.1_protein,p__Halobacteriota
