original_accession_n,new_name
RS_GCF_000012625.1_protein,p__Cyanobacteriota
RS_GCF_000235405.2_protein,p__Thermotogota
RS_GCF_000177635.2_protein,p__Chrysiogenota
GB_GCA_001784175.1_protein,p__Lindowbacteria
GB_GCA_002780065.1_protein,p__UBA8481
GB_GCA_002878375.1_protein,p__Dictyoglomota
GB_GCA_003551625.1_protein,p__PUNC01
GB_GCA_007132905.1_protein,p__SLNR01
RS_GCF_011316935.1_protein,p__Bacteroidota
GB_GCA_009773155.1_protein,p__Elusimicrobiota
GB_GCA_011388275.1_protein,p__QNDG01
GB_GCA_903902895.1_protein,p__Hydrogenedentota
GB_GCA_014360335.1_protein,p__DUMJ01
GB_GCA_014360465.1_protein,p__JACIXR01
GB_GCA_014379455.1_protein,p__Nitrospirota
RS_GCF_016908635.1_protein,p__Bacillota_F
GB_GCA_016178055.1_protein,p__JACPWU01
GB_GCA_015489175.1_protein,p__WOR-3
GB_GCA_015485525.1_protein,p__KSB1
GB_GCA_016867725.1_protein,p__VGIX01
GB_GCA_017303935.1_protein,p__Armatimonadota
GB_GCA_018241745.1_protein,p__Pseudomonadota
GB_GCA_018812925.1_protein,p__CAIJMQ01
GB_GCA_023144635.1_protein,p__JAFGBW01
GB_GCA_023249615.1_protein,p__FCPU426
GB_GCA_020350725.1_protein,p__BMS3Abin14
GB_GCA_913057685.1_protein,p__Deinococcota
GB_GCA_020348925.1_protein,p__TA06_A
GB_GCA_020633975.1_protein,p__Eisenbacteria
GB_GCA_020352495.1_protein,p__Krumholzibacteriota
GB_GCA_024275095.1_protein,p__JAJRZV01
GB_GCA_021324255.1_protein,p__CSP1-3
GB_GCA_020850775.1_protein,p__CLD3
GB_GCA_022827225.1_protein,p__Poribacteria
GB_GCA_023228995.1_protein,p__Muirbacteria
GB_GCA_020434085.1_protein,p__JAGRBM01
GB_GCA_023436245.1_protein,p__Bacillota_H
RS_GCF_000024985.1_protein,p__Chloroflexota
GB_GCA_001873285.1_protein,p__CG2-30-53-67
GB_GCA_001797335.1_protein,p__Bdellovibrionota
GB_GCA_002418985.1_protein,p__Desulfobacterota_G
GB_GCA_002428325.1_protein,p__UBP4
GB_GCA_002796325.1_protein,p__UBA10199
RS_GCF_003044035.1_protein,p__Methylomirabilota
GB_GCA_900542965.1_protein,p__Actinomycetota
GB_GCA_003576805.1_protein,p__Myxococcota_A
GB_GCA_007124045.1_protein,p__Delongbacteria
GB_GCA_009885845.1_protein,p__Desulfobacterota_F
GB_GCA_002951815.1_protein,p__Bacillota_E
GB_GCA_009711825.1_protein,p__Bacillota_D
GB_GCA_012729785.1_protein,p__UBA1439
GB_GCA_002069765.1_protein,p__Wallbacteria
GB_GCA_011048995.1_protein,p__Mcinerneyibacteriota
GB_GCA_012523605.1_protein,p__Fermentibacterota
GB_GCA_013178255.1_protein,p__Coprothermobacterota
GB_GCA_011620345.1_protein,p__UBA2233
GB_GCA_012517955.1_protein,p__Zixibacteria
GB_GCA_013151555.1_protein,p__NPL-UPA2
GB_GCA_903861835.1_protein,p__Firestonebacteria
GB_GCA_013824685.1_protein,p__Caldisericota
GB_GCA_903910705.1_protein,p__Margulisbacteria
GB_GCA_016213885.1_protein,p__UBP17
GB_GCA_016208765.1_protein,p__Omnitrophota
GB_GCA_015068865.1_protein,p__Bacillota_A
GB_GCA_016928995.1_protein,p__Sumerlaeota
GB_GCA_016713535.1_protein,p__JADJOY01
GB_GCA_018653085.1_protein,p__Nitrospinota
GB_GCA_024655865.1_protein,p__JANLFM01
GB_GCA_020722805.1_protein,p__Ratteibacteria
GB_GCA_021785655.1_protein,p__Dormibacterota
GB_GCA_020348885.1_protein,p__RBG-13-66-14
GB_GCA_023132135.1_protein,p__JAGLYR01
GB_GCA_020845895.1_protein,p__FEN-1099
GB_GCA_021108315.1_protein,p__Cloacimonadota
GB_GCA_024653345.1_protein,p__Bipolaricaulota
GB_GCA_023450745.1_protein,p__Synergistota
GB_GCA_022566355.1_protein,p__JdFR-76
GB_GCA_919901855.1_protein,p__CAKKQC01
RS_GCF_000021545.1_protein,p__Aquificota
GB_GCA_001790855.1_protein,p__Schekmanbacteria
GB_GCA_002084765.1_protein,p__4572-55
GB_GCA_002410925.1_protein,p__UBP13
GB_GCA_002724215.1_protein,p__Latescibacterota
RS_GCF_003057965.1_protein,p__Thermodesulfobiota
