compound_id,bertz_complexity,compound_name
C00175,0.0,Cobalt ion; Cobalt(2+); Co2+; Co(II)
C00001,0.0,H2O
C01528,0.0,Hydrogen selenide; Selenide
C00080,0.0,H+
C00038,0.0,Zinc cation; Zn2+; Zn(II); Zinc ion
C00014,0.0,Ammonia
C00027,0.0,Hydrogen peroxide
C00238,0.0,Potassium cation; K+; Potassium(1+); Potassium ion
C00070,0.0,Copper
C14818,0.0,Fe2+; Fe(II); Ferrous ion; Iron(2+)
C00007,0.0,Oxygen
C00282,0.0,Hydrogen; H2
C00283,0.0,Hydrogen sulfide
C19609,0.0,Nickel(2+); Ni2+; Ni(II)
C05361,0.0,Hydrazine
C06547,0.0,Ethylene
C00150,0.0,Molybdenum
C01438,0.0,Methane
C14819,0.0,Fe3+; Fe(III); Ferric ion; Iron(3+)
C00305,0.0,Magnesium cation; Mg2+; Magnesium(2+); Magnesium ion
C00132,2.0,Methanol
C00218,2.0,Methylamine
C00192,2.0,Hydroxylamine
C00069,2.0,Alcohol
C00533,2.0,Nitric oxide
C00067,2.0,Formaldehyde
C00543,2.754887502,Dimethylamine
C00697,4.754887502,Nitrogen
C00565,8.0,Trimethylamine
C00189,8.0,Ethanolamine
C00084,10.26466251,Acetaldehyde
C00058,10.26466251,Formate
C00088,10.26466251,Nitrite
C00071,12.26466251,Aldehyde; RCHO
C00479,17.2451125,Propanal
C00134,17.509775,Putrescine
C00011,23.77443751,CO2
C00116,25.21928095,Glycerol
C01672,25.26112493,Cadaverine
C00288,26.26466251,HCO3-; Hydrogencarbonate; Bicarbonate; Hydrogen carbonate; Acid carbonate
C00207,26.26466251,Acetone
C00244,26.26466251,Nitrate
C00094,26.26466251,Sulfite
C00033,27.01955001,Acetate
C05665,28.07403392,3-Aminopropanal
C00086,29.01955001,Urea
C00160,40.15772188,Glycolate
C07044,42.91260938,Hydroxyurea
C00037,42.91260938,Glycine
C02426,43.30296891,L-Glyceraldehyde
C00577,43.30296891,D-Glyceraldehyde
C00184,44.0,Glycerone
C03939,44.91260938,Acetyl-[acyl-carrier protein]
C12455,45.34481289,5-Aminopentanal
C00114,46.53206898,Choline
C00315,48.81290899,Spermidine
C00009,49.78353987,Orthophosphate
C01013,50.0,3-Hydroxypropanoate
C00213,52.7548875,Sarcosine
C00099,52.7548875,beta-Alanine
C00048,55.913403,Glyoxylate
C15809,58.6682905,Iminoglycine
C00041,59.81353753,L-Alanine
C00989,59.95524698,4-Hydroxybutanoic acid
C00334,62.71013448,4-Aminobutanoate
C00576,62.97063087,Betaine aldehyde
C05745,64.71013448,Butyryl-[acp]
C00222,66.4385619,3-Oxopropanoate
C01089,67.33515885,(R)-3-Hydroxybutanoate
C00258,69.33515885,D-Glycerate
C01026,70.09004635,"N,N-Dimethylglycine"
C00209,71.54887502,Oxalate; Oxalic acid; Ethanedioic acid
